"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length"
"COG2148",0.963211455254617,1,0.985284582101847,0.230066033842344,1114.9,1946,300.173,910.627
"COG2182",0.315110682127027,1,0.776042352705648,0.505804063632068,6422.7,11526,9144.55,531.4668
"COG2184",0.0335820895522387,1,0.710074626865672,0.26321892393321,567.5,2304,118.854,156.1527
"COG2186",0.157213222232296,1,0.79011125767667,0.213977362463806,812.9,2886,311.57,372.2659
"COG2199",1,1,1,0.243178768450872,1631,5657,1294.77,412.1145
"COG2207",0.476871437804806,1,0.685569360339936,0.374992863260063,1313.6,2878,921.198,523.9872
"COG2233",1,1,1,0.236836628511967,2276,7381,180.259,202.5212
"COG2256",0.955142239750109,1,0.988748173352442,0.211490815890645,990.2,2449,41.5368,215.1772
"COG2262",1,1,1,0.219171483622351,1137.5,1958,45.8791,242.8249
"COG2274",0.832963458381468,1,0.935682806895386,0.229182437547313,1211,3812,687.048,588.2037
"COG2759",1,1,1,0.20720043972151,1130.9,5577,85.8934,115.3581
"COG2812",0.0654506043572505,1,0.6261802417429,0.526755852842809,1575,3443,380.246,116.1933
"COG2826",0.96342063249542,1,0.989236917786917,0.218065904082275,4155.9,21595,974.453,224.2871
"COG2848",1,1,1,0.167418923436978,1001.5,6017,59.898,96.23157
"COG2860",1,1,1,0.188794326241135,399.3,1516,28.6941,262.553
"COG2865",1,1,1,0.255302405280193,4022.8,16238,1513.57,331.8886
"COG2884",1,1,1,0.211635750421585,627.5,2292,39.992,178.3234
"COG2962",0.118590957521709,1,0.845300905982617,0.206263982102908,276.6,1125,110.185,457.0045
"COG2966",0.896601005569609,1,0.97220508479804,0.235218390804598,1023.2,4659,221.265,222.7495
"COG3010",0.650805996433995,1,0.863673369961619,0.304774396642183,580.9,1976,138.723,72.2795
"COG3250",0.929091375066229,1,0.964355516419012,0.293273844933571,7394.9,18902,2830.23,471.2584
"COG3263",0.754170021085718,1,0.910949344072581,0.24242029928432,372.6,1560,72.8472,130.4489
"COG3274",0.0379300312750019,1,0.801493141370557,0.358213096559378,645.5,2065,365.785,415.8831
"COG3328",1,1,1,0.257252419955324,3454.9,14478,698.912,144.6747
"COG3345",0.97411892763136,1,0.98705946381568,0.185746082621083,2086.3,11385,357.614,177.1323
"COG3464",0.712866627227284,1,0.95711197134185,0.344966035904901,2843.9,10526,1329.51,301.6737
"COG3525",0.65109412108358,1,0.930218824216716,0.387235708692247,2967,8296,1703.34,196.6342
"COG3547",0.0749327223798096,1,0.814986544475962,0.245990922844175,2601.6,8823,979.154,0
"COG3581",1,1,1,0.283275862068966,1314.4,4772,278.202,53.21585
"COG3610",0.416886667383478,1,0.766754666953391,0.218357715903728,462.7,2241,185.943,171.1868
"COG3619",1,1,1,0.214730290456432,414,2180,66.0163,243.1449
"COG3710",0.728507922675277,1,0.945950659835353,0.318568011218345,3862,12425,10037,520.2175
"COG3711",0.441162279613834,1,0.776464911845534,0.267475837266802,1190,4489,491.508,309.9047
"COG3764",0.896967050730309,1,0.949122232589385,0.313729891507669,1677.2,6064,1045.9,249.3632
"COG3839",0.840495962523533,1,0.959137652204406,0.323488506857253,1674.7,4523,260.156,151.3835
"COG3842",0.433642992019849,1,0.888545490051348,0.218633276740238,515.1,1943,76.51,286.3542
"COG3973",0.964267029349155,1,0.974986920544408,0.270088863679334,1428.5,5465,197.264,208.6437
"COG4108",0.728863807744104,1,0.822851483141311,0.395137647479442,1105.2,2406,161.932,87.40583
"COG4152",0.79103213535077,1,0.958206427070154,0.245208585247884,1622.3,5374,969.951,340.4939
"COG4468",0.796885392740269,1,0.939823225048607,0.184826999432785,651.7,3548,64.4702,60.79076
"COG4535",0.920156982785959,1,0.991088729171493,0.262298578199052,1106.9,4305,509.876,56.9453
"COG4536",1,1,1,0.36032223796034,2035.1,5703,782.754,87.49036
"COG4565",0.503468337711936,1,0.934378230328385,0.429185254754637,1827.9,4380,1249.78,130.5412
"COG4584",1,1,1,0.241662406706881,2363.7,10797,661.997,361.9448
"COG4585",0.222885063070517,1,0.488735912691701,0.20137982940291,802.7,4450,733.218,339.0345
"COG4589",1,1,1,0.377244359097456,785.8,2113,529.42,42.198
"COG4608",1,1,1,0.208269230769231,1516.2,4929,342.278,232.5231
"COG4626",1,1,1,0.271719792438844,733.1,2797,200.114,246.4616
"COG4667",1,1,1,0.188791593695271,754.6,4087,149.785,145.0206
"COG4716",1,1,1,0.146803069053708,803.6,5500,49.4391,41.42935
"COG4868",1,1,1,0.138408104196816,478.2,3480,59.1941,34.97359
"COG4943",0.164107557486331,1,0.554016414303659,0.252408652972187,1388.5,5562,1307.38,122.5429
"COG4973",0.877473224628095,1,0.987747322462809,0.350884672777659,1646,4882,1366.85,193.1479
"COG4974",0.553285076644195,0.653263827036117,0.613272326879348,0.43213644524237,962.8,1397,752.717,641.7758
"COG4987",0.517118908935929,1,0.903423781787186,0.326928961748634,1495.7,3812,1060.55,334.9841
"COG4988",1,1,1,0.199587416193914,774,4005,175.016,248.6007
"COG4992",0.900036702485574,1,0.990003670248557,0.184547866911615,904.1,1422,26.3248,307.2049
"COG5000",0.265414183668629,0.550853243728819,0.374628545510371,0.37491103202847,1474.9,3075,1647.37,551.6898
"COG5002",1,1,1,0.384576845621101,7829.6,4125,901.28,463.2067
"COG5006",1,1,1,0.222323630981746,901.3,1083,70.0694,782.842
"COG5009",0.735556967369734,1,0.865746756715872,0.227764255910987,1310.1,5811,587.92,152.6768
"COG5492",1,1,1,0.415313573883162,1933.7,4829,1695.37,233.9498
