COG0013,27,1591
COG0014,22,1323
COG0021,20,1290
COG0028,21,1487
COG0034,16,1422
COG0036,16,1453
COG0037,12,2076
COG0041,11,1252
COG0053,18,1478
COG0055,24,1512
COG0057,14,1761
COG0059,15,1262
COG0081,37,1534
COG0084,20,1746
COG0098,31,1374
COG0104,23,1312
COG0107,19,1248
COG0111,19,1606
COG0124,24,1521
COG0129,13,1303
COG0130,22,1616
COG0131,15,1202
COG0138,15,1343
COG0141,20,1373
COG0143,23,1938
COG0153,12,771
COG0157,19,1226
COG0164,18,1747
COG0165,18,1394
COG0166,15,1632
COG0178,13,1522
COG0187,23,1590
COG0188,23,1534
COG0190,10,1456
COG0192,26,1355
COG0195,23,1285
COG0196,15,1622
COG0206,21,1202
COG0215,22,1604
COG0217,21,1325
COG0223,17,1712
COG0224,16,1341
COG0248,13,1262
COG0250,26,1498
COG0253,10,1223
COG0263,19,1087
COG0264,17,1621
COG0272,20,1601
COG0275,20,1545
COG0282,17,1229
COG0283,13,1334
COG0289,17,1504
COG0305,23,1503
COG0313,15,1564
COG0317,18,1313
COG0322,21,1521
COG0324,19,1527
COG0329,18,1731
COG0336,21,1422
COG0352,16,1569
COG0358,20,1723
COG0370,8,1021
COG0379,15,1073
COG0395,6,1036
COG0396,18,1111
COG0410,11,825
COG0422,18,1019
COG0423,19,783
COG0436,12,1828
COG0438,10,1599
COG0444,15,1141
COG0460,15,1305
COG0463,9,1899
COG0465,19,1452
COG0488,10,1602
COG0489,20,1557
COG0492,17,1550
COG0497,19,1468
COG0505,20,1345
COG0514,11,1161
COG0516,26,1604
COG0520,13,1591
COG0524,18,1637
COG0540,22,1381
COG0541,30,1513
COG0552,24,1499
COG0556,26,1427
COG0561,9,1584
COG0564,19,1738
COG0566,15,1674
COG0569,10,1290
COG0571,17,1388
COG0577,8,1396
COG0586,9,1240
COG0593,21,1183
COG0595,14,971
COG0601,11,1441
COG0606,21,1267
COG0609,13,1383
COG0610,10,1049
COG0613,11,1082
COG0629,14,2168
COG0653,24,1455
COG0656,9,1191
COG0658,6,1315
COG0664,17,1327
COG0667,15,1479
COG0668,14,1583
COG0669,16,1362
COG0675,7,674
COG0679,13,1218
COG0706,18,1599
COG0707,21,1570
COG0730,10,1596
COG0735,12,1252
COG0737,11,1132
COG0739,6,1406
COG0740,18,1922
COG0744,20,1260
COG0747,16,1408
COG0750,12,1706
COG0758,13,1474
COG0761,22,1118
COG0765,10,1226
COG0766,18,1385
COG0768,16,1663
COG0770,15,1620
COG0771,18,1442
COG0772,11,1599
COG0778,10,1498
COG0787,15,1507
COG0791,8,1119
COG0796,11,1385
COG0799,18,1452
COG0802,8,1370
COG0803,8,1369
COG0826,14,909
COG0834,10,1438
COG0840,11,1093
COG0841,12,1280
COG0855,10,811
COG0860,11,1390
COG1001,6,487
COG1027,13,576
COG1052,11,1421
COG1053,18,1267
COG1066,17,1059
COG1080,15,880
COG1088,11,1622
COG1104,15,1509
COG1108,8,1364
COG1116,9,1271
COG1117,10,1194
COG1119,11,515
COG1120,14,1358
COG1122,8,1238
COG1123,7,988
COG1126,10,1250
COG1131,10,1837
COG1132,12,1665
COG1134,8,992
COG1136,13,1826
COG1160,26,1441
COG1168,9,838
COG1171,12,1304
COG1173,10,1267
COG1175,8,1188
COG1177,9,907
COG1178,6,912
COG1181,16,1553
COG1186,19,1318
COG1187,10,1536
COG1197,26,1480
COG1198,19,1519
COG1200,24,1447
COG1207,17,1255
COG1211,17,1300
COG1216,11,1387
COG1219,25,1189
COG1268,4,865
COG1278,7,1258
COG1301,9,1030
COG1316,7,742
COG1322,12,909
COG1327,15,957
COG1328,11,805
COG1349,8,1115
COG1364,20,1021
COG1368,12,880
COG1373,7,654
COG1396,7,1058
COG1451,6,940
COG1454,10,1195
COG1464,8,897
COG1472,14,1412
COG1473,11,1354
COG1476,11,1308
COG1477,11,1085
COG1484,6,1040
COG1486,5,405
COG1530,22,967
COG1544,20,1349
COG1546,4,963
COG1570,12,1387
COG1619,14,788
COG1660,11,962
COG1670,14,1664
COG1674,21,1107
COG1702,21,945
COG1847,14,666
COG1854,1,466
COG1937,12,705
COG1940,13,1500
COG1966,7,745
COG1968,14,1353
COG1971,11,535
COG2011,7,809
COG2145,8,665
COG2148,8,1620
COG2182,12,1140
COG2184,3,407
COG2186,6,960
COG2199,5,824
COG2207,9,1011
COG2233,9,1016
COG2256,18,1371
COG2262,25,1364
COG2274,15,1220
COG2759,14,783
COG2812,7,712
COG2826,9,577
COG2848,7,404
COG2860,9,879
COG2865,7,602
COG2884,11,952
COG2962,7,1064
COG2966,6,704
COG3010,5,369
COG3250,5,865
COG3263,9,465
COG3274,4,654
COG3328,6,567
COG3345,7,468
COG3464,3,613
COG3525,11,521
COG3547,9,1010
COG3581,8,126
COG3610,3,455
COG3619,10,648
COG3710,3,343
COG3711,3,591
COG3764,3,575
COG3839,8,886
COG3842,8,1224
COG3973,5,446
COG4108,18,867
COG4152,7,814
COG4468,3,276
COG4535,1,307
COG4536,7,408
COG4565,6,348
COG4584,11,756
COG4585,2,884
COG4589,3,156
COG4608,13,1077
COG4626,7,569
COG4667,4,481
COG4716,3,223
COG4868,9,183
COG4943,4,232
COG4973,12,553
COG4974,13,1746
COG4987,12,861
COG4988,9,754
COG4992,19,1505
COG5000,9,929
COG5002,9,1723
COG5006,10,1592
COG5009,6,745
COG5492,4,326
